"Indice Climatico y Tendencia 
 
 Indice de sequia estandarizada 
 
 Indice que corresponde al indice de sequia estandarizada a 12 meses.",,
Ano,Valor (u.e.),Anomalia (u.e.)
1961,0.6,0.5
1962,0.1,0.0
1963,1.5,1.4
1964,-0.8,-0.9
1965,1.2,1.1
1966,0.8,0.7
1967,-0.8,-0.9
1968,-1.9,-2.0
1969,-0.7,-0.8
1970,0.3,0.2
1971,-0.2,-0.3
1972,1.7,1.6
1973,-1.0,-1.1
1974,0.1,0.0
1975,-0.7,-0.8
1976,-0.3,-0.4
1977,0.3,0.2
1978,0.7,0.6
1979,-0.3,-0.4
1980,0.3,0.2
1981,-0.1,-0.2
1982,1.9,1.8
1983,0.5,0.4
1984,0.4,0.3
1985,-0.6,-0.7
1986,0.1,0.0
1987,1.3,1.2
1988,-1.3,-1.4
1989,0.3,0.2
1990,-0.6,-0.7
1991,1.0,0.9
1992,0.7,0.6
1993,0.4,0.3
1994,-0.4,-0.5
1995,-0.7,-0.8
1996,-1.4,-1.5
1997,2.1,2.0
1998,-1.9,-2.0
1999,0.5,0.4
2000,1.4,1.3
2001,0.6,0.5
2002,1.7,1.6
2003,-1.9,-2.0
2004,-0.6,-0.7
2005,1.6,1.5
2006,0.2,0.1
2007,-0.6,-0.7
2008,0.6,0.5
2009,0.3,0.2
2010,0.0,-0.1
2011,-1.2,-1.3
2012,-0.2,-0.3
2013,-0.8,-0.9
2014,-0.4,-0.5
2015,-0.3,-0.4
2016,0.4,0.3
2017,0.0,-0.1
2018,-1.0,-1.1
2019,-2.0,-2.1
2020,-0.9,-1.0
Tendencia Lineal por Decada,,-0.1   (u.e. / Decada)
